protein_id,virus_name,virus_abbrev,protein_name,capsid_role,genome_type,host_category,family,architecture_class,t_number,virion_morphology,pdb_ids,primary_pdb,uniprot_id,reference_pmid,notes,evidence_level,source,uniprot_name,protein_length,organism,taxonomy_id,gene_name,protein_description,reviewed
P04936,Human rhinovirus 14,HRV14,VP1,MCP,ssRNA+,Eukaryota_Animal,Picornaviridae,SJR,pseudo-T=3,icosahedral,4RHV,4RHV,P04936,3856866,Common cold virus,high,seed_set_v1,POLG_HRV2,2150,Human rhinovirus 2,12130,,Genome polyprotein,reviewed
P03305,Foot-and-mouth disease virus,FMDV,VP1,MCP,ssRNA+,Eukaryota_Animal,Picornaviridae,SJR,pseudo-T=3,icosahedral,1BBT,1BBT,P03305,2997611,Agriculturally important,high,seed_set_v1,POLG_FMDVO,2332,Foot-and-mouth disease virus serotype O,12118,,Genome polyprotein,reviewed
P12870,Nodamura virus,NoV,Capsid protein alpha,MCP,ssRNA+,Eukaryota_Animal,Nodaviridae,SJR,T=3,icosahedral,1NOV,1NOV,P12870,8009220,T=3 insect virus,high,seed_set_v1,CAPSD_FHV,407,Flock house virus,12287,alpha,Capsid protein alpha,reviewed
P12871,Flock house virus,FHV,Capsid protein alpha,MCP,ssRNA+,Eukaryota_Animal,Nodaviridae,SJR,T=3,icosahedral,2Z2Q,2Z2Q,P12871,17981124,Model for capsid assembly,high,seed_set_v1,CAPSD_NODAM,399,Nodamura virus (strain Mag115),914672,alpha,Capsid protein alpha,reviewed
P03538,Tomato bushy stunt virus,TBSV,Coat protein,MCP,ssRNA+,Eukaryota_Plant,Tombusviridae,SJR,T=3,icosahedral,2TBV,2TBV,P03538,17981127,First T=3 virus structure,high,seed_set_v1,NSP2_ROTBU,317,Rotavirus A (strain RVA/Cow/United Kingdom/UK/1975/G6P7[5]),10934,,Non-structural protein 2,reviewed
P11491,Carnation mottle virus,CarMV,Coat protein,MCP,ssRNA+,Eukaryota_Plant,Tombusviridae,SJR,T=3,icosahedral,1OPO,1OPO,P11491,14691228,Plant carmovirus,high,seed_set_v1,PPB_YEAST,566,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),559292,PHO8,Repressible alkaline phosphatase,reviewed
P03600,Cowpea chlorotic mottle virus,CCMV,Coat protein,MCP,ssRNA+,Eukaryota_Plant,Bromoviridae,SJR,T=3,icosahedral,1CWP,1CWP,P03600,7541247,pH-dependent swelling,high,seed_set_v1,POL1_CPMVS,1866,Cowpea mosaic virus (strain SB),928299,,RNA1 polyprotein,reviewed
P15476,Infectious bursal disease virus,IBDV,VP2,MCP,dsRNA,Eukaryota_Animal,Birnaviridae,SJR,T=13,icosahedral,1WCE;2GSY,1WCE,P15476,15299144,dsRNA virus with T=13 SJR capsid,high,seed_set_v1,PATB1_SOLTU,386,Solanum tuberosum,4113,PATB1,Patatin-B1,reviewed
P27378,Bacteriophage PRD1,PRD1,P3 (MCP),MCP,dsDNA,Bacteria,Tectiviridae,DJR,pseudo-T=25,icosahedral,1W8X;1CJD,1W8X,P27378,15226433,Prototype DJR MCP,high,seed_set_v1,P2_BPPRD,591,Enterobacteria phage PRD1,10658,II,Adsorption protein P2,reviewed
Q7Y1F5,Bacteriophage Bam35,Bam35,MCP,MCP,dsDNA,Bacteria,Tectiviridae,DJR,pseudo-T=25,icosahedral,6QVV,6QVV,Q7Y1F5,32265281,PRD1-like Gram+ phage,high,seed_set_v1,Q7Y1F5_ORYSJ,98,Oryza sativa subsp. japonica,39947,,,unreviewed
P04133,Human adenovirus 5,HAdV-5,Hexon,MCP,dsDNA,Eukaryota_Animal,Adenoviridae,DJR,pseudo-T=25,icosahedral,1P30;6CGV,1P30,P04133,12552133,"Classic DJR MCP, gene therapy vector",high,seed_set_v1,CAPSH_ADE05,952,Human adenovirus C serotype 5,28285,L3,Hexon protein,reviewed
D2Y2S4,Human adenovirus 26,HAdV-26,Hexon,MCP,dsDNA,Eukaryota_Animal,Adenoviridae,DJR,pseudo-T=25,icosahedral,6B1T,6B1T,D2Y2S4,28855253,Vaccine vector,high,seed_set_v1,D2Y2S4_9ENTO,138,Rhinovirus C,463676,,Genome polyprotein,unreviewed
P30316,Paramecium bursaria chlorella virus 1,PBCV-1,Vp54 (MCP),MCP,dsDNA,Eukaryota_Protist,Phycodnaviridae,DJR,T=169,icosahedral,1M3Y,1M3Y,P30316,12438624,Giant virus with DJR MCP,high,seed_set_v1,DPOD_SCHPO,1086,Schizosaccharomyces pombe (strain 972 / ATCC 24843),284812,pol3,DNA polymerase delta catalytic subunit,reviewed
P22035,African swine fever virus,ASFV,p72 (MCP),MCP,dsDNA,Eukaryota_Animal,Asfarviridae,DJR,T=214,icosahedral,6KU9,6KU9,P22035,31554923,Large NCLDV with DJR capsid,high,seed_set_v1,BAS1_YEAST,811,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),559292,BAS1,Myb-like DNA-binding protein BAS1,reviewed
P20536,Vaccinia virus,VACV,D13 (scaffold),minor,dsDNA,Eukaryota_Animal,Poxviridae,DJR,NA,complex,2YGC,2YGC,P20536,20844023,DJR scaffold in non-icosahedral virus,high,seed_set_v1,UNG_VACCC,218,Vaccinia virus (strain Copenhagen),10249,OPG116,Uracil-DNA glycosylase,reviewed
Q6KEN9,Sulfolobus turreted icosahedral virus,STIV,B345 (MCP),MCP,dsDNA,Archaea,Turriviridae,DJR,pseudo-T=31,icosahedral,2BBD,2BBD,Q6KEN9,15886398,Archaeal virus with turrets,high,seed_set_v1,Q6KEN9_9ENTO,107,Coxsackievirus A18,42776,VP1,Genome polyprotein,unreviewed
P03583,Tobacco mosaic virus,TMV,30K movement protein,movement,ssRNA+,Eukaryota_Plant,Virgaviridae,JRF_hybrid,NA,filamentous,1VIM,1VIM,P03583,15016364,"Non-capsid JRF protein, cell-to-cell movement",high,seed_set_v1,MVP_TMV,268,Tobacco mosaic virus (strain vulgare),12243,MP,Movement protein,reviewed
P27376,Bacteriophage PRD1,PRD1,P5 (spike),spike,dsDNA,Bacteria,Tectiviridae,SJR,NA,icosahedral,1YQ8,1YQ8,P27376,15919196,"Vertex spike protein, SJR fold",high,seed_set_v1,WAAC_ECOLI,319,Escherichia coli (strain K12),83333,waaC,Lipopolysaccharide heptosyltransferase 1,reviewed
P03281,Human adenovirus 2,HAdV-2,Penton base,minor,dsDNA,Eukaryota_Animal,Adenoviridae,SJR,NA,icosahedral,1X9T,1X9T,P03281,16321979,SJR penton base at vertices,high,seed_set_v1,CAP9_ADE05,140,Human adenovirus C serotype 5,28285,IX,Hexon-interlacing protein IX,reviewed
P03283,Human adenovirus 5,HAdV-5,Protein IX,cement,dsDNA,Eukaryota_Animal,Adenoviridae,other,NA,icosahedral,6CGV,6CGV,P03283,29898905,Cement protein stabilizing capsid,high,seed_set_v1,HEX9_ADE07,,,,,,unreviewed
